Format Version,1.23,Take Name,Tweaker4FPV_WithGoPro_001,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 02.41.25.539 PM,Total Frames in Take,27287,Total Exported Frames,27287,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4
,ID,"CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6","CE879A41E2DC11E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
198,1.100000,0.002851,-0.020369,-0.000797,-0.999788,-6.978106,44.799126,-23.460022,0.327258
199,1.105556,0.002935,-0.020297,-0.000727,-0.999789,-6.986851,44.804310,-23.458750,0.340079
200,1.111111,0.002939,-0.020342,-0.000700,-0.999789,-6.991333,44.804684,-23.452433,0.343077
201,1.116667,0.002961,-0.020344,-0.000728,-0.999788,-6.985073,44.805225,-23.450264,0.335075
202,1.122222,0.003009,-0.020306,-0.000697,-0.999789,-6.989058,44.806767,-23.450087,0.336825
203,1.127778,0.002988,-0.020355,-0.000686,-0.999788,-6.987097,44.804810,-23.449579,0.343457
204,1.133333,0.002924,-0.020415,-0.000718,-0.999787,-6.972849,44.801392,-23.451977,0.330434
205,1.138889,0.002964,-0.020405,-0.000608,-0.999787,-6.985448,44.811176,-23.443701,0.330597
206,1.144444,0.002918,-0.020339,-0.000692,-0.999789,-6.975602,44.804218,-23.447470,0.340272
207,1.150000,0.002866,-0.020362,-0.000722,-0.999788,-6.971528,44.802586,-23.454540,0.328708
208,1.155556,0.002903,-0.020445,-0.000654,-0.999787,-6.969021,44.807243,-23.452009,0.321959
209,1.161111,0.002948,-0.020373,-0.000698,-0.999788,-6.987638,44.808445,-23.448606,0.342470
210,1.166667,0.002945,-0.020282,-0.000722,-0.999790,-6.984790,44.808395,-23.450876,0.337255
211,1.172222,0.003003,-0.020320,-0.000685,-0.999789,-6.985833,44.802746,-23.448637,0.341763
212,1.177778,0.003007,-0.020309,-0.000701,-0.999789,-6.986523,44.800484,-23.448467,0.335294
213,1.183333,0.002970,-0.020301,-0.000736,-0.999789,-6.984812,44.808464,-23.447647,0.345109
214,1.188889,0.002968,-0.020301,-0.000707,-0.999789,-6.986177,44.808575,-23.446907,0.336640
215,1.194444,0.002978,-0.020271,-0.000766,-0.999790,-6.987570,44.803967,-23.443304,0.332730
216,1.200000,0.002954,-0.020361,-0.000648,-0.999788,-6.978860,44.816582,-23.447258,0.326675
217,1.205556,0.002964,-0.020282,-0.000617,-0.999790,-6.979337,44.822552,-23.442118,0.328346
218,1.211111,0.002858,-0.020371,-0.000669,-0.999788,-6.975721,44.818764,-23.452446,0.330294
219,1.216667,0.002836,-0.020367,-0.000776,-0.999788,-6.967201,44.804806,-23.455898,0.330573
220,1.222222,0.002885,-0.020394,-0.000810,-0.999788,-6.971198,44.795227,-23.453329,0.324033
221,1.227778,0.002963,-0.020327,-0.000744,-0.999789,-6.971903,44.809982,-23.458155,0.314894
222,1.233333,0.002961,-0.020420,-0.000707,-0.999787,-6.973034,44.813873,-23.452078,0.327899
223,1.238889,0.003009,-0.020380,-0.000659,-0.999788,-6.988651,44.810524,-23.441124,0.330368
224,1.244444,0.003000,-0.020329,-0.000675,-0.999789,-6.987729,44.809147,-23.444326,0.336073
225,1.250000,0.002944,-0.020357,-0.000678,-0.999788,-6.975861,44.810970,-23.448248,0.322016
226,1.255556,0.002937,-0.020326,-0.000700,-0.999789,-6.986886,44.811954,-23.445435,0.338246
227,1.261111,0.003001,-0.020396,-0.000678,-0.999787,-6.977199,44.814598,-23.448296,0.320508
228,1.266667,0.003014,-0.020306,-0.000633,-0.999789,-6.989414,44.819134,-23.446974,0.332438
229,1.272222,0.002960,-0.020303,-0.000698,-0.999789,-6.985999,44.807812,-23.449198,0.337298
230,1.277778,0.002963,-0.020306,-0.000723,-0.999789,-6.993243,44.809273,-23.448586,0.335949
231,1.283333,0.003043,-0.020300,-0.000621,-0.999789,-6.990932,44.818230,-23.446190,0.332822
232,1.288889,0.002997,-0.020264,-0.000721,-0.999790,-6.993217,44.803234,-23.450010,0.331452
233,1.294444,0.002976,-0.020311,-0.000675,-0.999789,-6.990514,44.803280,-23.444422,0.332243
234,1.300000,0.002920,-0.020279,-0.000691,-0.999790,-6.983096,44.806038,-23.443495,0.342052
235,1.305556,0.002943,-0.020270,-0.000682,-0.999790,-6.984206,44.811302,-23.443338,0.340533
