Format Version,1.23,Take Name,Tweaker4LOS_WithGoPro_005,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2018-11-07 03.34.45.325 PM,Total Frames in Take,21875,Total Exported Frames,21875,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4,Tweaker4
,ID,"F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6","F56E575AE2E411E8B3FD50CD8B7040A6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
72,0.400000,-0.093338,0.001316,0.091675,-0.991404,10.247545,45.833725,19.218470,0.362435
73,0.405556,-0.093294,0.001321,0.091681,-0.991408,10.250660,45.836300,19.220739,0.366133
74,0.411111,-0.093246,0.001317,0.091736,-0.991407,10.252674,45.832653,19.217178,0.370589
75,0.416667,-0.093318,0.001327,0.091673,-0.991406,10.253423,45.832767,19.215311,0.366315
76,0.422222,-0.093359,0.001310,0.091659,-0.991404,10.251944,45.834785,19.215384,0.369176
77,0.427778,-0.093278,0.001315,0.091707,-0.991407,10.254048,45.828220,19.215776,0.351892
78,0.433333,-0.093241,0.001338,0.091775,-0.991404,10.253025,45.822536,19.215363,0.359306
79,0.438889,-0.093333,0.001320,0.091735,-0.991399,10.249942,45.831707,19.216394,0.365943
80,0.444444,-0.093282,0.001320,0.091695,-0.991407,10.251296,45.835896,19.221304,0.364956
81,0.450000,-0.093258,0.001313,0.091711,-0.991408,10.255253,45.830193,19.217299,0.371981
82,0.455556,-0.093250,0.001314,0.091680,-0.991412,10.251774,45.828701,19.213491,0.360702
83,0.461111,-0.093224,0.001364,0.091612,-0.991421,10.250777,45.841995,19.219604,0.366216
